|topic_0|topic_1|topic_2|topic_3|topic_4|topic_5|topic_6|topic_7|topic_8|topic_9|topic_10|topic_11|topic_12|topic_13|topic_14|topic_15|topic_16|topic_17|topic_18|topic_19|topic_20|topic_21|topic_22|topic_23|topic_24|topic_25|topic_26|topic_27|topic_28|topic_29|topic_30|topic_31|topic_32|topic_33|topic_34|topic_35|topic_36|topic_37|topic_38|topic_39|topic_40|topic_41|topic_42|topic_43|topic_44|topic_45|topic_46|
doc_0   |       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_1   |       |       |       |      X|       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |       X|       X|
doc_2   |       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_3   |       |       |       |       |       |       |      X|       |       |       |        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |
doc_4   |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|       X|        |        |        |        |       X|       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_5   |      X|       |      X|       |       |       |       |       |      X|      X|        |       X|        |        |        |        |       X|       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_6   |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_7   |      X|       |       |       |       |      X|       |       |      X|      X|        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_8   |      X|       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_9   |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_10  |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_11  |       |       |       |      X|       |       |       |      X|       |       |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |
doc_12  |       |       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_13  |       |       |       |       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |
doc_14  |      X|       |       |       |       |       |       |      X|      X|      X|        |       X|        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_15  |       |       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_16  |       |       |      X|       |       |      X|       |       |       |      X|        |        |        |       X|        |        |        |       X|       X|        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_17  |       |       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_18  |      X|       |      X|       |       |       |       |       |      X|       |        |        |        |        |        |        |        |       X|        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |
doc_19  |      X|       |       |       |       |       |       |       |       |       |        |       X|        |       X|        |        |       X|       X|        |        |        |        |       X|        |        |        |        |       X|       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_20  |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |       X|       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_21  |       |       |       |       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_22  |      X|       |      X|       |      X|       |       |       |       |      X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |
doc_23  |      X|       |      X|       |       |       |       |       |      X|       |        |       X|        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_24  |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_25  |      X|       |      X|       |       |       |       |      X|      X|       |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |
doc_26  |       |       |      X|       |      X|       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |
doc_27  |      X|       |      X|       |      X|       |       |       |       |       |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_28  |       |       |      X|       |      X|       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |
doc_29  |       |       |      X|       |      X|       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |
doc_30  |      X|       |      X|       |       |       |       |      X|      X|       |        |        |       X|        |        |        |       X|        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_31  |       |       |      X|       |      X|       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |
doc_32  |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_33  |       |       |       |       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_34  |       |       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_35  |      X|      X|      X|       |       |       |       |       |       |       |        |       X|        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_36  |       |       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|       X|        |        |        |        |        |
doc_37  |       |       |       |      X|      X|       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |
doc_38  |       |       |       |       |       |       |       |       |      X|       |        |       X|        |       X|        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_39  |      X|       |       |       |       |      X|       |       |      X|       |        |       X|        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |
doc_40  |       |       |       |      X|      X|       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |
doc_41  |       |       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|       X|        |        |        |        |        |
doc_42  |       |       |       |       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_43  |      X|      X|      X|       |       |       |       |       |      X|      X|        |       X|        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_44  |       |       |       |       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |        |        |        |        |        |       X|       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_45  |       |       |       |       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_46  |       |       |      X|       |      X|      X|       |       |      X|      X|        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_47  |      X|       |      X|       |      X|       |       |       |       |      X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |        |        |       X|        |        |
doc_48  |      X|      X|      X|       |       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_49  |       |       |       |      X|       |       |      X|      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |
doc_50  |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_51  |       |       |      X|       |       |      X|       |       |      X|      X|        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
